id,title,vegetarian,vegan,dairyFree,veryHealthy,veryPopular,lowFodmap,ketogenic,image,aggregateLikes,healthScore,percentProtein,percentFat,percentCarbs,dishTypes,ingredients,calories,Fat_g,Saturated Fat_g,Carbohydrates_g,Sugar_g,Cholesterol_mg,Sodium_mg,Protein_g,Vitamin B3_mg,Iron_mg,Vitamin B2_mg,Calcium_mg,Vitamin B1_mg,Potassium_mg,Zinc_mg,Magnesium_mg,Vitamin B12_µg,Vitamin B5_mg,Vitamin E_mg,Fiber_g,Vitamin A_IU,Vitamin C_mg,Alcohol_g
38,Onion Anchovy Galette,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,https://spoonacular.com/recipeImages/38-556x370.jpg,0,2,5.18,64.37,30.45,snack,"anchovy,dried thyme,flour,garlic clove,ice water,olive oil,onions,salt,tomato paste,butter,butter",334.26,24.23,12.83,25.78,2.86,52.53,148.2,4.39,2.24,1.72,0.17,30.68,0.24,176.1,0.39,15.19,0.06,0.23,1.5,1.81,674.48,5.07,0
39,Radish Salad With Anchovy ,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,https://spoonacular.com/recipeImages/39-556x370.jpg,6,1,3.98,86.79,9.23,salad,"anchovy,capers,flatleaf parsley,garlic clove,lemon juice,olive oil,radishes,salt",36.07,3.58,0.5,0.86,0.29,0.6,214.03,0.37,0,0,0,0,0,40.8,0,0,0,0,0.52,0.25,0,3.46,0
40,"Pizza With Anchovies, Red Onion, And Oregano",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,https://spoonacular.com/recipeImages/40-556x370.jpg,0,8,16.29,52.31,31.4,"lunch,main_dish,dinner","anchovies,garlic,olive oil,oregano,parmesan,pizza dough,red chili flakes,red onion,tomato ",407.33,24.11,7.42,32.57,5.33,22.8,1091.22,16.89,1.24,3.07,0.16,393.43,0.03,209.52,1.1,26.27,0.38,0.3,3.48,2.52,979.21,3.19,0
41,Anchovy  Italian Parsley Deviled Eggs,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,https://spoonacular.com/recipeImages/41-556x370.jpg,2,41,24.24,69.92,5.84,"lunch,main_dish,dinner","anchovy filets,capers,dijon mustard,eggs,mayonnaise,parsley,bell pepper,salt,smoked paprika",626.35,48.02,11.75,9.03,5.01,998.64,1158.47,37.46,2.37,6.35,1.32,197.56,0.26,655.72,4.08,64.44,2.43,4.52,5.24,3.06,4724.65,106.32,0
42,Grilled Mozzarella Sandwich With Anchovy-olive Tapenade,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,https://spoonacular.com/recipeImages/42-556x370.jpg,18,10,14.78,66.9,18.32,"lunch,main_dish,dinner","anchovy,bread,butter,fresh mozzarella,garlic clove,kosher salt,lemon juice,olive oil,olives,oregano leaves",702.78,53.03,27.3,32.66,4.66,129.75,1767.2,26.36,4.15,3.11,0.42,561.41,0.31,228.68,3.3,53.14,2.01,0.67,3.17,4.3,1471.59,1.57,0
43,Pressed Summer Sandwich with Eggs and Anchovies,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,https://spoonacular.com/recipeImages/43-556x370.jpg,0,7,15.63,44.02,40.35,appetizers,"anchovies,black olives,black pepper,capers,cherry tomatoes,crusty bread,fresh parsley leaves,garlic,hard cooked eggs,olive oil,orange bell pepper,red onion",144.9,7.14,1.4,14.73,1.57,75.08,252.86,5.71,1.37,1.35,0.18,29.78,0.12,116.2,0.49,12.49,0.23,0.41,1.16,1.07,414.75,10.46,0
44,Chicory In Anchovy ,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,https://spoonacular.com/recipeImages/44-556x370.jpg,5,86,6.13,77.17,16.7,,"anchovy filets,dandelion greens,dandelion greens,garlic,kosher salt,olive oil,red wine vinegar",245.15,21.99,3.14,10.71,0.81,2.4,285.57,3.93,1.48,3.83,0.31,220.29,0.22,473.13,0.55,43.1,0,0.13,6.94,3.98,11524.44,39.98,0
45,"Mustard Greens, Shrimp, And Anchovy Pasta",FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,https://spoonacular.com/recipeImages/45-556x370.jpg,1,39,20.88,34.36,44.76,,"anchovies,coarse salt,juice of lemon,mustard greens,olive oil,red chili flakes,short pasta,shrimp",407.35,15.53,2.18,45.51,2.45,144.68,652.96,21.23,2.16,3.06,0.11,164.52,0.1,409.4,2.11,68.63,0.44,0.47,3.8,3.66,1723.94,44.92,0
46,"Orecchiette with Cauliflower, Anchovies and Pistachios",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,https://spoonacular.com/recipeImages/46-556x370.jpg,0,20,13.44,38.92,47.64,"lunch,main_dish,dinner","cauliflower,chicken stock,crushed red pepper,flat-leaf parsley,oil packed tuna,orecchiette,parmesan cheese,salt and pepper,butter,unsalted pistachios",556.71,24.36,12.13,67.1,5.73,48.25,460.29,18.93,3.1,2.38,0.22,161.16,0.22,669.51,1.97,75.32,0.15,1.1,1.05,5.63,1086.41,53.27,0
47,Roasted Cauliflower With Anchovy Vinaigrette,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,https://spoonacular.com/recipeImages/47-556x370.jpg,0,49,6.94,76.56,16.5,snack,"anchovy,cauliflower,garlic cloves,lemon,olive oil,parsley,salt and pepper",309.83,27.98,3.95,13.58,4.72,3.6,265.49,5.7,1.97,1.54,0.15,67.91,0.12,705.55,0.73,37.5,0,1.51,4.13,5.05,177.56,118.66,0
48,Roasted Red Peppers With Anchovies And Olive Oil,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,https://spoonacular.com/recipeImages/48-556x370.jpg,0,84,8.68,53.83,37.49,snack,"anchovy,garlic,olive oil,olive oil,red bell peppers,red bell peppers",129.76,7.79,1.07,12.21,8.34,2.4,12.37,2.83,2.51,1.04,0.18,21.2,0.11,437.12,0.57,25.64,0,0.66,4.16,4.18,6215.43,253.65,0
49,Tomato And Boquerones Salad With Garlicky Breadcrumbs,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,https://spoonacular.com/recipeImages/49-556x370.jpg,0,11,11.86,74.86,13.28,snack,"anchovy,basil leaves,extra virgin olive oil,pepper,red onion,sherry vinegar,tomato",102.57,8.71,1.28,3.48,2.01,7.2,16.14,3.11,2.03,0.66,0.05,28.29,0.03,198.76,0.33,13.02,0.07,0.15,1.52,0.92,498.84,8.57,0
50,Hard-Cooked Eggs with Crisp Anchovy Crumbs,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,https://spoonacular.com/recipeImages/50-556x370.jpg,0,1,22.09,72.97,4.94,appetizers,"anchovy fillets,brioche,eggs,garlic,lemon zest,mayonnaise,parsley,butter",71.22,5.69,1.75,0.87,0.16,110.75,64.86,3.88,0,0.55,0.13,18.38,0,43.64,0.38,0,0.26,0.45,0.41,0,200.83,0,0
51,Acciughe Con Salsa Verde (anchovies In Green ),TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,https://spoonacular.com/recipeImages/51-556x370.jpg,25,12,4.94,92.3,2.76,,"basil,flat leaf parsley,garlic,hard-boiled egg,olive oil,parsley,red chile flakes,vinegar,white wine",151.25,15.39,2.35,1.03,0.25,46.63,20.6,1.85,0,0.66,0.07,18.7,0.02,59.14,0.22,5.47,0.14,0.21,2.21,0.25,618.11,8.3,0.39
52,California Artichokes With Anchovy Mayonnaise,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,https://spoonacular.com/recipeImages/52-556x370.jpg,0,28,18.66,42.99,38.35,"lunch,main_dish,dinner","anchovy,artichokes,bay leaves,dijon mustard,egg yolks,fresh parsley,fresh thyme,garlic,garlic cloves,kosher salt,kosher salt,lemon juice,lemons,low sodium chicken broth,olive oil,white wine,white wine vinegar",281.65,12.69,2.55,25.46,3.75,100.05,637.78,12.39,5.38,3.65,0.25,122.66,0.16,874.99,1.38,98.55,0.44,0.92,1.79,8.92,551.09,53.26,6.18
53,"Anchovy, Little Gem, And Tomato Salad",FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,https://spoonacular.com/recipeImages/53-556x370.jpg,3,31,9.58,73.43,16.99,snack,"anchovy,curly parsley,vinaigrette,kosher salt,lettuce,olive oil,vine ripened tomatoes",164.55,14.02,2.35,7.3,4.95,7.2,218.61,4.12,2.66,1.13,0.07,42.18,0.08,462.23,0.54,25.04,0.07,0.25,2.43,2.25,1660.51,25.5,0
54,Anchovy and Piquillo Pepper Bruschetta,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,https://spoonacular.com/recipeImages/54-556x370.jpg,0,2,3.06,85.25,11.69,snack,"anchovies,bread,caperberries,garlic clove,olive oil,piquillo peppers,sea-salt",151.58,14.3,2.01,4.41,1.12,2.4,344.23,1.15,0.73,1.01,0.02,11.24,0.02,0,0,0,0,0,2.05,0,381.47,22.88,0
55,"Endive, Fennel And Parmesan With Anchovy Date Dressing",FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,https://spoonacular.com/recipeImages/55-556x370.jpg,2,46,6.11,63.58,30.31,snack,"anchovy,belgian endive,bell pepper,dates,fennel bulb,garlic,olive oil,orange,sherry vinegar",257.5,18.85,2.63,20.22,10.65,4.8,44,4.07,2.49,1.38,0.13,73.72,0.11,631.22,0.58,33.29,0,0.62,3.87,6,2501.1,121.46,0
56,Tomato-and-Anchovy Salad with Garlic Cream,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,https://spoonacular.com/recipeImages/56-556x370.jpg,0,30,10.39,66.89,22.72,salad,"aged balsamic vinegar,anchovy,basil leaves,garlic cloves,heirloom tomatoes,milk,olive oil,salt and pepper",194.44,15.06,2.37,11.51,7.16,8.73,225.84,5.26,3.09,1.23,0.11,69.28,0.11,629.04,0.72,33.78,0.14,0.37,3.26,2.84,1999.45,32.75,0
57,Port-Marinated Pork with Prunes and Anchovies,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,https://spoonacular.com/recipeImages/57-556x370.jpg,0,39,48.74,25.73,25.53,"lunch,main_dish,dinner","anchovy,boneless pork loin roast,flour,garlic cloves,lemon juice,lemon zest,olive oil,port,prunes,salt and pepper",413.48,10.54,2.81,23.53,12.49,123.87,299.59,44.92,12.62,1.74,0.44,43.62,0.88,974.32,3.73,67.65,1.01,1.62,0.75,2.02,190.39,7.59,6.12
